Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
C0Q4L3	reviewed	Crotonobetaine/carnitine--CoA ligase	476213	Salmonella paratyphi C (strain RKS4594)	517	PF13193	435..510
C0RF62	reviewed	Acetyl-coenzyme A synthetase	546272	Brucella melitensis biotype 2 (strain ATCC 23457)	651	PF13193	531..611
C0SPB0	reviewed	Uncharacterized acyl--CoA ligase YtcI	224308	Bacillus subtilis (strain 168)	529	PF13193	432..510
C1AA44	reviewed	Acetyl-coenzyme A synthetase	379066	Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505)	654	PF13193	537..615
C1CB20	reviewed	D-alanine--D-alanyl carrier protein ligase	488221	Streptococcus pneumoniae (strain 70585)	516	PF13193	425..503
C1CNE9	reviewed	D-alanine--D-alanyl carrier protein ligase	488223	Streptococcus pneumoniae (strain P1031)	516	PF13193	425..503
C1CU95	reviewed	D-alanine--D-alanyl carrier protein ligase	487213	Streptococcus pneumoniae (strain Taiwan19F-14)	516	PF13193	425..503
C1D6V9	reviewed	Acetyl-coenzyme A synthetase	557598	Laribacter hongkongensis (strain HLHK9)	653	PF13193	537..618
C1EM80	reviewed	D-alanine--D-alanyl carrier protein ligase	572264	Bacillus cereus (strain 03BB102)	504	PF13193	413..492
C1L1P5	reviewed	D-alanine--D-alanyl carrier protein ligase	568819	Listeria monocytogenes serotype 4b (strain CLIP80459)	510	PF13193	420..498
C3LAH8	reviewed	D-alanine--D-alanyl carrier protein ligase	568206	Bacillus anthracis (strain CDC 684 / NRRL 3495)	503	PF13193	412..491
C3LB87	reviewed	2-succinylbenzoate--CoA ligase	568206	Bacillus anthracis (strain CDC 684 / NRRL 3495)	482	PF13193	396..469
C3MAS0	reviewed	Acetyl-coenzyme A synthetase	394	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	649	PF13193	531..609
C3P4I7	reviewed	D-alanine--D-alanyl carrier protein ligase	592021	Bacillus anthracis (strain A0248)	503	PF13193	412..491
C3PCK3	reviewed	2-succinylbenzoate--CoA ligase	592021	Bacillus anthracis (strain A0248)	482	PF13193	396..469
C4ZPW3	reviewed	Crotonobetaine/carnitine--CoA ligase	595496	Escherichia coli (strain K12 / MC4100 / BW2952)	517	PF13193	435..510
C5D6U5	reviewed	2-succinylbenzoate--CoA ligase	471223	Geobacillus sp. (strain WCH70)	492	PF13193	399..474
C5NN18	reviewed	Acyl-CoA synthetase ACTT5	5599	Alternaria alternata	578	PF13193	472..551
C7ZBE4	reviewed	Nonribosomal peptide synthetase 30	660122	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)	5911	PF13193	5239..5335
C8VTR6	reviewed	Putative acyl-coenzyme A synthetase	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	554	PF13193	456..534
C9K7B5	reviewed	AM-toxin synthetase AMT1	5599	Alternaria alternata	4363	PF13193	1774..1856
D4AU31	reviewed	PKS-NRPS hybrid synthetase swnK	663331	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371)	2567	PF13193	437..509
D7PHZ3	reviewed	Malonamoyl-CoA synthetase vrtB	36650	Penicillium aethiopicum	723	PF13193	615..684
D9XF47	reviewed	Phosphinothricin tripeptide synthase PhsC	591159	Streptomyces viridochromogenes (strain DSM 40736 / JCM 4977 / BCRC 1201 / Tue 494)	1086	PF13193	909..984
D9XF49	reviewed	Phosphinothricin tripeptide synthase PhsB	591159	Streptomyces viridochromogenes (strain DSM 40736 / JCM 4977 / BCRC 1201 / Tue 494)	1189	PF13193	977..1054
E2JA29	reviewed	Dapdiamide synthesis protein DdaD	549	Enterobacter agglomerans	578	PF13193	403..472
E3UUE6	reviewed	3-oxocholest-4-en-26-oate--CoA ligase	1829	Rhodococcus rhodochrous	555	PF13193	449..524
E9F8M3	reviewed	PKS-NRPS hybrid synthetase swnK	655844	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075)	2488	PF13193	431..503
E9Q9W4	reviewed	Long-chain fatty acid transport protein 6	10090	Mus musculus	619	PF13193	495..571
F4HUK6	reviewed	Butanoate--CoA ligase AAE1	3702	Arabidopsis thaliana	556	PF13193	458..532
F4K1G2	reviewed	Putative acyl-activating enzyme 19	3702	Arabidopsis thaliana	1040	PF13193	388..466
F4KBF3	reviewed	Probable acyl-activating enzyme 17, peroxisomal	3702	Arabidopsis thaliana	721	PF13193	619..702
F8J3D9	reviewed	Marinolic acid--CoA ligase	747457	Pseudoalteromonas sp. (strain SANK 73390)	654	PF13193	492..567
G3J455	reviewed	Acyl-CoA ligase cm3C	983644	Cordyceps militaris (strain CM01)	637	PF13193	543..624
G3XMC0	reviewed	Acyl-CoA ligase azaF	380704	Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7)	531	PF13193	449..525
G3XNF4	reviewed	PKS-NRPS hybrid synthetase ATPKS	380704	Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7)	1854	PF13193	432..505
I3PB36	reviewed	Trans-cinnamate:CoA ligase, peroxisomal	4102	Petunia hybrida	570	PF13193	463..538
I3PB37	reviewed	4-coumarate:CoA ligase 1	4102	Petunia hybrida	544	PF13193	453..528
K0E2F3	reviewed	Fatty-acyl-AMP ligase ecdI	41736	Aspergillus rugulosus	559	PF13193	467..549
K3VAW3	reviewed	Acyl-CoA ligase FPSE_09184	1028729	Fusarium pseudograminearum (strain CS3096)	579	PF13193	480..561
M4IQQ5	reviewed	2-methylpropanoate--CoA ligase CCL4	3486	Humulus lupulus	556	PF13193	454..531
M4IQQ7	reviewed	Probable CoA ligase CCL9	3486	Humulus lupulus	525	PF13193	426..501
M4IQR7	reviewed	Probable CoA ligase CCL5	3486	Humulus lupulus	551	PF13193	462..537
M4IQS1	reviewed	Probable CoA ligase CCL10	3486	Humulus lupulus	543	PF13193	454..529
M4IRL4	reviewed	Isovalerate--CoA ligase CCL2	3486	Humulus lupulus	573	PF13193	480..556
M4IRL6	reviewed	Probable CoA ligase CCL7	3486	Humulus lupulus	544	PF13193	455..530
M4IRL9	reviewed	Probable CoA ligase CCL12	3486	Humulus lupulus	723	PF13193	634..703
M4IS88	reviewed	Acetate--CoA ligase CCL3	3486	Humulus lupulus	568	PF13193	468..547
M4IS90	reviewed	Probable CoA ligase CCL8	3486	Humulus lupulus	607	PF13193	506..591
M4IS92	reviewed	Probable CoA ligase CCL13	3486	Humulus lupulus	573	PF13193	480..556
M4ISH0	reviewed	4-coumarate--CoA ligase CCL1	3486	Humulus lupulus	548	PF13193	457..532
M4ISH2	reviewed	Probable CoA ligase CCL11	3486	Humulus lupulus	563	PF13193	457..534
O05307	reviewed	Medium/long-chain-fatty-acid--CoA ligase FadD6	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	597	PF13193	473..549
O06417	reviewed	Medium/long-chain-fatty-acid--CoA ligase FadD8	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	571	PF13193	470..552
O07610	reviewed	Long-chain-fatty-acid--CoA ligase	224308	Bacillus subtilis (strain 168)	513	PF13193	427..501
O07619	reviewed	Uncharacterized acyl--CoA ligase YhfT	224308	Bacillus subtilis (strain 168)	479	PF13193	391..462
O07899	reviewed	Vibriobactin-specific 2,3-dihydroxybenzoate-AMP ligase	243277	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	543	PF13193	448..524
O13440	reviewed	Acetyl-coenzyme A synthetase	5346	Coprinopsis cinerea	661	PF13193	539..621
O14975	reviewed	Long-chain fatty acid transport protein 2	9606	Homo sapiens	620	PF13193	500..572
O24145	reviewed	4-coumarate--CoA ligase 1	4097	Nicotiana tabacum	547	PF13193	456..531
O24146	reviewed	4-coumarate--CoA ligase 2	4097	Nicotiana tabacum	542	PF13193	451..526
O24540	reviewed	4-coumarate--CoA ligase	51239	Vanilla planifolia	553	PF13193	460..535
O25686	reviewed	Acetyl-coenzyme A synthetase	85962	Helicobacter pylori (strain ATCC 700392 / 26695)	662	PF13193	541..623
O30408	reviewed	Tyrocidine synthase 2	54914	Brevibacillus parabrevis	3587	PF13193	878..951,1913..1986,2946..3019
O30409	reviewed	Tyrocidine synthase 3	54914	Brevibacillus parabrevis	6486	PF13193	871..944,1908..1981,2946..3019,3981..4054,5025..5098,6067..6141
O31782	reviewed	Polyketide synthase PksN	224308	Bacillus subtilis (strain 168)	5488	PF13193	888..962
O31826	reviewed	Putative acyl-CoA synthetase YngI	224308	Bacillus subtilis (strain 168)	549	PF13193	454..529
O31827	reviewed	Plipastatin synthase subunit E	224308	Bacillus subtilis (strain 168)	1279	PF13193	882..954
O33855	reviewed	Medium-chain acyl-CoA ligase Mig	1764	Mycobacterium avium	550	PF13193	462..537
O35488	reviewed	Long-chain fatty acid transport protein 2	10090	Mus musculus	620	PF13193	496..572
O53551	reviewed	Medium/long-chain-fatty-acid--CoA ligase FadD17	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	502	PF13193	404..480
O54075	reviewed	4-coumarate--CoA ligase	272943	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.)	411	PF13193	338..407
O54154	reviewed	L-proline--[L-prolyl-carrier protein] ligase	100226	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	532	PF13193	435..510
O60011	reviewed	Acetyl-coenzyme A synthetase 1	284590	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	707	PF13193	584..669
O68006	reviewed	Bacitracin synthase 1	1402	Bacillus licheniformis	5255	PF13193	445..518,1482..1555,2522..2595,3563..3636,5072..5145
O68007	reviewed	Bacitracin synthase 2	1402	Bacillus licheniformis	2607	PF13193	921..995,1965..2038
O68008	reviewed	Bacitracin synthase 3	1402	Bacillus licheniformis	6359	PF13193	867..940,1899..1972,3404..3477,4447..4520,5953..6026
O68040	reviewed	Acetyl-coenzyme A synthetase	272942	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	656	PF13193	538..616
O69140	reviewed	4-coumarate--CoA ligase	272942	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	384	PF13193	325..379
O70490	reviewed	Acyl-coenzyme A synthetase ACSM2, mitochondrial	10116	Rattus norvegicus	572	PF13193	477..557
O74976	reviewed	Oxalate--CoA ligase	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	512	PF13193	419..494
O80658	reviewed	Probable acyl-activating enzyme 4	3702	Arabidopsis thaliana	545	PF13193	455..531
O88561	reviewed	Long-chain fatty acid transport protein 3	10090	Mus musculus	667	PF13193	543..619
O93730	reviewed	Acetyl-coenzyme A synthetase	178306	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)	670	PF13193	548..626
O93800	reviewed	Acyl-CoA ligase AKT1	5599	Alternaria alternata	578	PF13193	473..554
O94049	reviewed	Acetyl-coenzyme A synthetase 1	5476	Candida albicans	675	PF13193	553..634
P08659	reviewed	Luciferin 4-monooxygenase	7054	Photinus pyralis	550	PF13193	453..529
P09095	reviewed	Tyrocidine synthase 1	54914	Brevibacillus parabrevis	1088	PF13193	433..506
P0A398	reviewed	D-alanine--D-alanyl carrier protein ligase	170187	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	516	PF13193	425..503
P0A399	reviewed	D-alanine--D-alanyl carrier protein ligase	171101	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	516	PF13193	425..503
P0C061	reviewed	Gramicidin S synthase 1	47500	Aneurinibacillus migulanus	1098	PF13193	444..517
P0C062	reviewed	Gramicidin S synthase 1	1393	Brevibacillus brevis	1098	PF13193	444..517
P0C063	reviewed	Gramicidin S synthase 2	47500	Aneurinibacillus migulanus	4451	PF13193	877..950,1912..1985,2959..3031,3996..4069
P0C064	reviewed	Gramicidin S synthase 2	1393	Brevibacillus brevis	4450	PF13193	877..950,1912..1985,2957..3030,3995..4068
P0C397	reviewed	D-alanine--D-alanyl carrier protein ligase	1280	Staphylococcus aureus	485	PF13193	395..473
P0C5B6	reviewed	OPC-6:CoA ligase	3702	Arabidopsis thaliana	550	PF13193	461..536
P0C7M7	reviewed	Acyl-coenzyme A synthetase ACSM4, mitochondrial	9606	Homo sapiens	580	PF13193	486..566
P0DA64	reviewed	D-alanine--D-alanyl carrier protein ligase	198466	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)	512	PF13193	419..499
P0DA65	reviewed	D-alanine--D-alanyl carrier protein ligase	193567	Streptococcus pyogenes serotype M3 (strain SSI-1)	512	PF13193	419..499
P0DJH0	reviewed	Anguibactin system regulator	55601	Vibrio anguillarum	1048	PF13193	863..942
P0DUV3	reviewed	Malpicyclin synthetase	64518	Mortierella alpina	5532	PF13193	803..876,1903..1976,2959..3032,4036..4109,5115..5188
P0DUV4	reviewed	Malpibaldin synthetase	64518	Mortierella alpina	5541	PF13193	807..880,1907..1980,2964..3037,4046..4119,5125..5198
P0DX14	reviewed	Fatty acid--[acyl-carrier-protein] ligase ScoC	116188	Streptomyces coeruleorubidus	519	PF13193	425..500
P0DX16	reviewed	Isonitrile lipopeptide synthase	116188	Streptomyces coeruleorubidus	1470	PF13193	869..943
P10378	reviewed	Enterobactin synthase component E	83333	Escherichia coli (strain K12)	536	PF13193	446..520
P13129	reviewed	Luciferin 4-monooxygenase	7051	Nipponoluciola cruciata	548	PF13193	455..531
P14912	reviewed	4-coumarate--CoA ligase 1	4043	Petroselinum crispum	544	PF13193	452..527
P14913	reviewed	4-coumarate--CoA ligase 2	4043	Petroselinum crispum	544	PF13193	452..527
P16928	reviewed	Acetyl-coenzyme A synthetase	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	670	PF13193	550..628
P16929	reviewed	Acetyl-coenzyme A synthetase	367110	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	667	PF13193	548..626
P17814	reviewed	4-coumarate--CoA ligase 1	39947	Oryza sativa subsp. japonica	564	PF13193	471..547
P19409	reviewed	Bile acid--coenzyme A ligase	29347	Clostridium scindens (strain JCM 10418 / VPI 12708)	520	PF13193	432..505
P19787	reviewed	N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase	5076	Penicillium chrysogenum	3746	PF13193	1809..1883,2891..2971
P23971	reviewed	2-succinylbenzoate--CoA ligase	224308	Bacillus subtilis (strain 168)	486	PF13193	398..471
P25464	reviewed	N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase	5044	Acremonium chrysogenum	3712	PF13193	1785..1860,2858..2936
P27095	reviewed	Acetyl-coenzyme A synthetase	2223	Methanothrix soehngenii	672	PF13193	560..638
P27206	reviewed	Surfactin synthase subunit 1	224308	Bacillus subtilis (strain 168)	3587	PF13193	875..950,1916..1989,2946..3018
P27550	reviewed	Acetyl-coenzyme A synthetase	83333	Escherichia coli (strain K12)	652	PF13193	531..609
P27742	reviewed	N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	3770	PF13193	1835..1909,2915..2995
P27743	reviewed	N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase	1913	Amycolatopsis lactamdurans	3649	PF13193	677..752,1765..1838,2811..2889
P28812	reviewed	Uncharacterized protein PA3568	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	628	PF13193	509..588
P31552	reviewed	Crotonobetaine/carnitine--CoA ligase	83333	Escherichia coli (strain K12)	517	PF13193	435..510
P31638	reviewed	Acetyl-coenzyme A synthetase	381666	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337)	660	PF13193	544..625
P31684	reviewed	4-coumarate--CoA ligase 1	4113	Solanum tuberosum	545	PF13193	454..529
P31685	reviewed	4-coumarate--CoA ligase 2	4113	Solanum tuberosum	545	PF13193	454..529
P31686	reviewed	4-coumarate--CoA ligase 1	3847	Glycine max	293	PF13193	201..277
P31687	reviewed	4-coumarate--CoA ligase 2	3847	Glycine max	562	PF13193	469..544
P35854	reviewed	D-alanine--D-alanyl carrier protein ligase	47715	Lacticaseibacillus rhamnosus	506	PF13193	415..494
P36333	reviewed	Acetyl-coenzyme A synthetase	5076	Penicillium chrysogenum	669	PF13193	550..627
P37353	reviewed	2-succinylbenzoate--CoA ligase	83333	Escherichia coli (strain K12)	451	PF13193	366..423
P37418	reviewed	2-succinylbenzoate--CoA ligase	99287	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	455	PF13193	366..424
P38135	reviewed	Medium-chain fatty-acid--CoA ligase	83333	Escherichia coli (strain K12)	566	PF13193	466..543
P38137	reviewed	Oxalate--CoA ligase	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	543	PF13193	448..523
P39062	reviewed	Acetyl-coenzyme A synthetase	224308	Bacillus subtilis (strain 168)	572	PF13193	471..549
P39581	reviewed	D-alanine--D-alanyl carrier protein ligase	224308	Bacillus subtilis (strain 168)	503	PF13193	412..491
P39845	reviewed	Plipastatin synthase subunit A	224308	Bacillus subtilis (strain 168)	2561	PF13193	872..941,1916..1988
P39846	reviewed	Plipastatin synthase subunit B	224308	Bacillus subtilis (strain 168)	2560	PF13193	873..946,1911..1986
P39847	reviewed	Plipastatin synthase subunit C	224308	Bacillus subtilis (strain 168)	2555	PF13193	878..947,1911..1984
P40806	reviewed	Polyketide synthase PksJ	224308	Bacillus subtilis (strain 168)	5043	PF13193	1563..1633
P40871	reviewed	2,3-dihydroxybenzoate-AMP ligase	224308	Bacillus subtilis (strain 168)	539	PF13193	444..519
P41636	reviewed	4-coumarate--CoA ligase	3352	Pinus taeda	537	PF13193	451..524
P42516	reviewed	4-coumarate--CoA ligase	1053	Halorhodospira halophila	391	PF13193	317..389
P45745	reviewed	Dimodular nonribosomal peptide synthase	224308	Bacillus subtilis (strain 168)	2378	PF13193	869..942,1943..2017
P46450	reviewed	Long-chain-fatty-acid--CoA ligase	71421	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	562	PF13193	471..545
P52910	reviewed	Acetyl-coenzyme A synthetase 2	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	683	PF13193	547..637
P55912	reviewed	Propionate--CoA ligase	99287	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	628	PF13193	509..592
P58730	reviewed	2-succinylbenzoate--CoA ligase	169963	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	467	PF13193	382..455
P59591	reviewed	D-alanine--D-alanyl carrier protein ligase	208435	Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R)	511	PF13193	420..499
P59871	reviewed	Acetyl-coenzyme A synthetase	233413	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	651	PF13193	539..617
P59872	reviewed	Acetyl-coenzyme A synthetase	243090	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)	671	PF13193	559..636
P63521	reviewed	Long-chain-fatty-acid--CoA ligase	99287	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	561	PF13193	469..543
P63522	reviewed	Long-chain-fatty-acid--CoA ligase	90370	Salmonella typhi	561	PF13193	469..543
P63525	reviewed	2-succinylbenzoate--CoA ligase	158878	Staphylococcus aureus (strain Mu50 / ATCC 700699)	492	PF13193	411..483
P63526	reviewed	2-succinylbenzoate--CoA ligase	158879	Staphylococcus aureus (strain N315)	492	PF13193	411..483
P68876	reviewed	D-alanine--D-alanyl carrier protein ligase	158878	Staphylococcus aureus (strain Mu50 / ATCC 700699)	485	PF13193	395..473
P68878	reviewed	D-alanine--D-alanyl carrier protein ligase	196620	Staphylococcus aureus (strain MW2)	485	PF13193	395..473
P69451	reviewed	Long-chain-fatty-acid--CoA ligase	83333	Escherichia coli (strain K12)	561	PF13193	469..543
P69452	reviewed	Long-chain-fatty-acid--CoA ligase	199310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	561	PF13193	469..543
P71716	reviewed	Salicyl-AMP ligase / salicyl-S-ArCP synthetase	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	565	PF13193	468..542
P77495	reviewed	Propionate--CoA ligase	83333	Escherichia coli (strain K12)	628	PF13193	509..592
P78773	reviewed	Probable acetyl-coenzyme A synthetase	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	662	PF13193	541..618
P80435	reviewed	3-hydroxy-4-methylanthranilate adenylyltransferase	1892	Streptomyces anulatus	472	PF13193	376..443
P80436	reviewed	Triostin synthetase I	45399	Streptomyces triostinicus	527	PF13193	437..512
P86831	reviewed	4-chlorobenzoate--CoA ligase	1667	Arthrobacter sp.	522	PF13193	415..487
P86832	reviewed	4-chlorobenzoate--CoA ligase	1667	Arthrobacter sp.	522	PF13193	415..487
P94459	reviewed	Plipastatin synthase subunit D	224308	Bacillus subtilis (strain 168)	3603	PF13193	873..946,1908..1977,2940..3013
P94547	reviewed	Long-chain-fatty-acid--CoA ligase	224308	Bacillus subtilis (strain 168)	560	PF13193	468..543
P96575	reviewed	Putative acyl--CoA ligase YdaB	224308	Bacillus subtilis (strain 168)	503	PF13193	416..490
P96843	reviewed	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	507	PF13193	422..497
P97524	reviewed	Long-chain fatty acid transport protein 2	10116	Rattus norvegicus	620	PF13193	496..572
P97849	reviewed	Long-chain fatty acid transport protein 1	10116	Rattus norvegicus	646	PF13193	523..598
P99107	reviewed	D-alanine--D-alanyl carrier protein ligase	158879	Staphylococcus aureus (strain N315)	485	PF13193	395..473
P9WEQ8	reviewed	Nicotinic acid-CoA ligase olcI	5083	Penicillium canescens	546	PF13193	445..523
P9WER8	reviewed	Malpinin synthetase	64518	Mortierella alpina	7760	PF13193	821..905,1901..1982,2981..3062,4065..4153,5141..5229,6232..6317,7319..7407
P9WQ36	reviewed	Long-chain-fatty-acid--CoA ligase FadD13	83331	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	503	PF13193	413..487
P9WQ37	reviewed	Long-chain-fatty-acid--CoA ligase FadD13	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	503	PF13193	413..487
P9WQ38	reviewed	Probable 2-succinylbenzoate--CoA ligase	83331	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	383	PF13193	292..367
P9WQ39	reviewed	Probable 2-succinylbenzoate--CoA ligase	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	383	PF13193	292..367
P9WQ50	reviewed	Medium/long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase	83331	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	548	PF13193	446..521
P9WQ51	reviewed	Medium/long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	548	PF13193	446..521
